Location,Facility Type,Ped_Total,Ped_Female,Ped_MobAssist,Ped_Stroller,Ped_Weekday,Ped_Weekday_Female,Ped_Weekday_MobAssist,Ped_Weekday_Stroller,Ped_Weekend,Ped_Weekend_Female,Ped_Weekend_MobAssist,Ped_Weekend_Stroller,Bike_Total,Bike_Female,Bike_Sidewalk,Bike_ContraFlow,Bike_Bikeshare,Bike_Helmet,Bike_Weekday,Bike_Weekday_Female,Bike_Weekday_Sidewalk,Bike_Weekday_Contraflow,Bike_Weekday_Bikeshare,Bike_Weekday_Helmet,Bike_Weekend,Bike_Weekend_Female,Bike_Weekend_Sidewalk,Bike_Weekend_ContraFlow,Bike_Weekend_Bikeshare,Bike_Weekend_Helmet,Other_Total,Other_Total 1,Other_Female,Other_Sidewalk,Other_ContraFlow,Other_Helmet,Other_Weekday_Total,Other_Weekday_Female,Other_Weekday_Sidewalk,Other_Weekday_WrongWay,Other_Weekday_Helmet,Other_Weekend_Total,Other_Weekend_Female,Other_Weekend_Sidewalk,Other_Weekend_ContraFlow,Other_Weekend_Helmet,Scooter_Total,Scooter_Female,Scooter_Sidewalk,Scooter_ContraFlow,Scooter_Helmet,Scooter_Weekday_Total,Scooter_Weekday_Female,Scooter_Weekday_Sidewalk,Scooter_Weekday_ContraFlow,Scooter_Weekday_Helmet,Scooter_Weekend_Total,Scooter_Weekend_Female,Scooter_Weekend_Sidewalk,Scooter_Weekend_ContraFlow,Scooter_Weekend_Helmet
LA River e/o Winnetka,Path,18,2,0,1,,,,,18,2,0,1,32,11,,,,,,,,,,,32,11,0,0,0,13,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0
Lankershim bw Oxnard and Erwin,Lane,567,116,3,24,423,70,2,22,144,46,1,2,112,6,48,,2,14,78,6,48,,2,14,34,0,22,0,0,2,23,23,2,17,0,0,21,2,15,0,0,2,0,2,0,0,27,4,10,0,8,22,3,9,,8,5,1,1,0,0
Lincoln s/o Bluff Creek Trail,Lane,187,50,0,0,115,50,0,0,72,,,,119,18,30,12,38,24,71,18,30,12,38,24,48,,,,,14,4,4,1,1,0,0,4,1,1,0,0,0,0,0,0,0,3,0,1,0,0,3,0,1,0,0,0,0,0,0,0
Los Angeles bw Arcadia and Aliso,Buffered Lane,970,252,1,0,818,193,0,0,152,59,1,0,150,25,11,7,29,37,119,24,11,7,29,37,31,1,8,3,0,10,13,13,0,0,0,0,7,0,0,0,0,6,0,0,0,0,42,10,6,5,0,34,9,3,3,0,8,1,3,2,0
Main bw 6th and 7th,Protected Lane,1045,369,14,5,1045,369,14,5,,,,,227,23,79,15,7,63,227,23,79,15,7,63,,,,,,,22,22,1,13,4,2,22,1,13,4,2,,,,,,68,13,23,13,1,68,13,23,13,1,,,,,
Main bw Abbot Kinney and Park,Lane,523,93,0,2,266,93,0,2,257,,,,627,80,6,,22,143,414,80,6,,22,143,213,,,,,,11,11,0,3,3,0,6,0,3,3,0,5,,,,,70,34,3,0,4,36,34,3,,4,34,,,,
Main bw Arcadia and Aliso,Lane,1502,654,9,15,1226,539,5,10,276,115,4,5,124,23,24,10,5,28,90,17,24,10,5,28,34,6,12,2,3,9,8,8,0,5,1,0,6,0,3,1,0,2,0,2,0,0,40,10,15,1,1,33,8,14,1,1,7,2,1,0,0
Manchester bw Broadway and Main,None,1275,311,9,21,775,147,6,11,500,164,3,10,122,8,86,0,0,0,86,4,86,0,0,0,36,4,31,1,0,0,21,21,3,20,0,0,13,0,13,0,0,8,3,7,0,0,7,1,6,0,0,3,1,3,0,0,4,0,3,0,0
MLK bw Woodlawn and Wall,Lane,1257,431,5,39,1098,354,3,35,159,77,2,4,226,8,76,,0,8,183,7,76,,0,8,43,1,18,5,0,3,20,20,1,15,3,0,15,1,14,0,0,5,0,1,3,0,10,0,4,1,0,8,0,4,0,0,2,0,0,1,0
Normandie bw PCH and Vermont,Route,161,61,0,0,139,48,0,0,22,13,0,0,13,1,5,0,0,0,9,0,5,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio bw Sepulveda and Pontius,Lane,409,125,0,2,339,96,0,2,70,29,0,0,439,58,11,,0,163,375,44,11,,0,163,64,14,7,2,2,45,4,4,0,1,0,3,1,0,0,0,1,3,0,1,0,2,66,5,9,0,9,53,4,7,,9,13,1,2,0,0
Orange Line bw Baird and Reseda,Path,227,84,1,2,88,41,0,2,139,43,1,0,120,13,0,0,0,50,77,11,0,0,0,50,43,2,0,0,0,22,5,5,2,2,0,1,2,2,2,0,1,3,0,0,0,0,3,0,0,0,1,2,0,0,0,0,1,0,0,0,1
Pacific bw 6th and 7th,Lane,727,84,4,16,460,84,2,11,267,,2,5,64,1,20,0,0,2,39,1,20,0,0,2,25,,1,3,,,16,16,0,11,1,0,13,0,11,1,0,3,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pico bw Western and Manhattan,None,784,379,7,13,571,272,2,10,213,107,5,3,105,6,57,,0,15,72,4,57,,0,15,33,2,24,2,0,2,3,3,0,2,0,1,2,0,2,0,1,1,0,0,0,0,10,2,7,0,0,8,1,5,0,0,2,1,2,0,0
